a,b,c,d
Saxon,Nekrasovo,Russia,architecture
Shatoysky battle tower,Shatoi,Russia,architecture
Sheinovo bastion,Smolensk,Russia,architecture
Shoanynskyy complex,Costa Hetagurova,Russia,architecture
"Tapestry Street, Building 48",St. Petersburg,Russia,architecture
The headquarters of the Central Military District,Ekaterinburg,Russia,architecture
Shukhov Tower on the Oka River,Dzerzhinsk,Russia,architecture
Eiffel tower in the village of Paris,Paris,Russia,architecture
Эolova harp,Pyatigorsk,Russia,architecture
South Gate Golden Abode of Buddha Shakyamuni,Elista,Russia,architecture
South Temple to the Nizhne-Arkhyz settlement,Nizhniy Arkhyz,Russia,architecture
Fair building,Nizhny Novgorod,Russia,architecture
Yaroslavs Court,Novgorod,Russia,architecture
Yaroslavsky Station,Moscow,Russia,architecture
Yaroslavl Garrison Hospital,Yaroslavl,Russia,architecture
? Womens Mariinsky gymnasium,Pskov,Russia,architecture
2nd womens gymnasium,Volgograd,Russia,architecture
Tower of Death,Permian,Russia,architecture
Admiralty Square,Voronezh,Russia,architecture
Academic Dacha named IE Repin,: VIP,Russia,architecture
Tower Syuyumbike,Kazan,Russia,architecture
Bogoroditsk Palace Museum and Park,Bogoroditsk,Russia,architecture
The palace and park complex Marino,Ivanovskoe,Russia,architecture
dom Daniluškina,Mound,Russia,architecture
Ushkova house,Kazan,Russia,architecture
House Decembrist II Gorbachevsky,Petrovsk-Zabaykalsky,Russia,architecture
Castle Complex Lyalah,guli,Russia,architecture
Sheremetev Castle in Yurino,Yurino,Russia,architecture
Golden Gate,Vladimir,Russia,architecture
Mozhaisk Kremlin,Mozhaisk,Russia,architecture
Moscow Kremlin,Moscow,Russia,architecture
Tabachnaya factory,Dace,Russia,architecture
Manor Nechayev-Maltsev,Polibin,Russia,architecture
The clock on the street Bauman,Kazan,Russia,architecture
Palace of labor,Volgograd,Russia,architecture
Kazan Kremlin,Kazan,Russia,architecture
Resurrection Cathedral in Arzamas,Arzamas,Russia,Shrines and temples
Walk of Fame Star,Star,Russia,military glory
Battle Glory Alley,Vyazniki,Russia,military glory
The Heroes Alley,podporozhye,Russia,military glory
The Heroes Alley,Sharlyksky,Russia,military glory
Avenue of Heroes of Agin-Buryat district,Aginskoe,Russia,military glory
Avenue of Heroes of the Soviet Union,Pskov,Russia,military glory
Alley of Heroes in the Victory Park,Petropavlovsk-Kamchatsky,Russia,military glory
Alley memory of the heroes,Belgorod,Russia,military glory
Alley of Honorary citizen of the Khanty-Mansiysk Autonomous Okrug,Khanty-Mansiysk,Russia,military glory
Walk of Fame,Gordeevka,Russia,military glory
The Heroes Alley,Balakovo,Russia,military glory
Alley hero-cities,Smolensk,Russia,military glory
Avenue of pioneers-heroes,Ulyanovsk,Russia,military glory
Walk of fame,Krasnodar,Russia,military glory
Ensemble line of defense,Novorossiysk,Russia,military glory
Ensemble Little Earth,Novorossiysk,Russia,military glory
bed of honor,Vladivostok,Russia,military glory
Mass grave of 1943-1944,Vekshina,Russia,military glory
"Mass grave of HF Fattyahutdinova, RR Ibarruri and VG Kamenschikova",Volgograd,Russia,military glory
Mass grave in the village of Nizhnedevitsky,Nižnedevick,Russia,military glory
Mass grave of soldiers of the Soviet Army,mine,Russia,military glory
Mass grave of soldiers killed in 1941-1943,Prjevalskoe,Russia,military glory
Mass grave of soldiers killed during the Battle of Stalingrad,Kletskaya,Russia,military glory
Mass grave of the defenders of Red Tsaritsyn in 1919,Volgograd,Russia,military glory
Mass grave Communards,Ekaterinburg,Russia,military glory
Mass grave of Red Army,Guryevsk,Russia,military glory
Mass grave on Black Mountain,Mikhailov,Russia,military glory
Mass grave in the town cemetery,Zaraysk,Russia,military glory
Mass grave of Soviet soldiers who died during the Great Patriotic War,Ivnya,Russia,military glory
Mass grave of the district Council members Kem shot invaders in 1918,Kem,Russia,military glory
Mass grave № 10,Voronezh,Russia,military glory
Mass grave № 12,Voronezh,Russia,military glory
Mass grave № 13,Voronezh,Russia,military glory
Mass grave № 14,Voronezh,Russia,military glory
Mass grave № 15,Voronezh,Russia,military glory
Mass grave № 16,Voronezh,Russia,military glory
Mass grave № 17,Voronezh,Russia,military glory
Mass grave № 18,Voronezh,Russia,military glory
Mass grave № 19,Voronezh,Russia,military glory
Mass grave № 201,Nikolskoye,Russia,military glory
Mass grave № 211,Maslovka,Russia,military glory
Mass grave number 214,Tavrovo,Russia,military glory
Mass grave № 3,Voronezh,Russia,military glory
Mass grave № 35,Voronezh,Russia,military glory
Mass grave № 4,Voronezh,Russia,military glory
Mass grave № 5,Voronezh,Russia,military glory
Mass grave № 6,Voronezh,Russia,military glory
Bratskiy garden,Astrakhan,Russia,military glory
Armored boat AK-454,Permian,Russia,military glory
Бронепоезд quot;Тульский рабочийquot;,Tula,Russia,military glory
Heroes Boulevard,Novokuznetsk,Russia,military glory
Victory Boulevard,Astrakhan,Russia,military glory
Victory Boulevard,Omsk,Russia,military glory
"Bust of Marshal of the Soviet Union, RJ Malinowski",Khabarovsk,Russia,military glory
Eternal flame,Salekhard,Russia,military glory
The eternal flame (Victory Memorial),Arkhangelsk,Russia,military glory
The eternal flame at the Square of the memory of heroes,Smolensk,Russia,military glory
Eternal fire and Avenue of Heroes,Chistopol,Russia,military glory
Eternal flame on the Field of Mars,St. Petersburg,Russia,military glory
Military-Historical Museum Young defenders of the Motherland,Kursk,Russia,military glory
Military-historical museum of the Far Eastern Military District,Khabarovsk,Russia,military glory
Military-Historical Museum of the Battle of Kursk,Kursk,Russia,military glory
Military-Historical Museum of the Patriotic War of 1812,Dubna,Russia,military glory
Military-Historical Museum of the Pskov region,Isle,Russia,military glory
Military-Historical Museum of the Pskov region,Isle,Russia,military glory
Military-Historical Museum of the Pacific Fleet,Vladivostok,Russia,military glory
Military-Historical Museum of the Pacific Fleet,Vladivostok,Russia,military glory
Museum of Military History Center of additional education for children,Kotelnich,Russia,military glory
Naval History Museum Sea Shower,Kislovodsk,Russia,military glory
Naval Museum of the Northern Fleet,Murmansk,Russia,military glory
"Naval Museum of the Northern Fleet, Memorial Complex Red Banner submarine K-21 ",Severomorsk,Russia,military glory
Military-patriotic recreation park of the Russian Federation Patriot Armed Forces,Cuban,Russia,military glory
Military Technical Museum in Ivanovo,Borough Chernogolovka,Russia,military glory
War memorial,Terbunı,Russia,military glory
War memorial Valdaukadel,Gardening,Russia,military glory
War memorial in the village Tie,Tie-Zaverh,Russia,military glory
War memorial cemetery in the North,Izhevsk,Russia,military glory
military burial,Poddorye,Russia,military glory
Military graves in the village of Transitions,transitions,Russia,military glory
Military graves on the hill Snow,border,Russia,military glory
Gallery Hero Cities,Petrozavodsk,Russia,military glory
hill Heroes,Tuapse,Russia,military glory
Ponyrovsky State Historical and Memorial Museum,Ponыri 1-e,Russia,military glory
"Diorama The landing of Yevpatoria landing January 5, 1942",Yevpatoriya,Russia,military glory
The road of life,Kobo,Russia,military glory
Hall of Military Glory Memorial complex at Mamayev Kurgan,Volgograd,Russia,military glory
Hall of Military Glory,Novgorod,Russia,military glory
Burial of Soviet soldiers who died in the Smolensk fortress wall,Smolensk,Russia,military glory
"Anti-aircraft guns in honor of soldiers-gunners, who died fighting the fascist invaders",Krasnodar,Russia,military glory
Historical and Memorial Hall of military equipment and armament Airborne Troops,Ryazan,Russia,galleries
Historical and Memorial Museum The command post of the Voronezh Front,Kirov,Russia,military glory
Kazan Victory Park,Kazan,Russia,military glory
Boat hero,Nizhny Novgorod,Russia,military glory
Room of military glory,red,Russia,military glory
Memorial Complex of Fame,Dubrovka,Russia,military glory
Complex-a memorial to soldiers-novosergievtsam,Novosergievka,Russia,military glory
Komsomol fire years,Yoshkar-Ola,Russia,military glory
Equestrian monument to MI Platov,Novocherkassk,Russia,military glory
Krivtsovsky memorial,Fatnevo,Russia,military glory
Barrow of Immortality in Readovskom park,Smolensk,Russia,military glory
mound of Glory,Suzemka,Russia,military glory
mound of Glory,Novocherkassk,Russia,military glory
Kurgan Military Glory in Kotelnikovo,Котельниково,Russia,military glory
Mamayev Kurgan,Volgograd,Russia,military glory
Мемориал quot;Долина героевquot;,Pitkyaranta,Russia,military glory
Мемориал quot;Тамбовский колхозникquot;,Tambov,Russia,military glory
Memorial Afghan Gate,Penza,Russia,military glory
Memorial Nameless Height,big rapids,Russia,military glory
Memorial Armored Victory,Black,Russia,military glory
Memorial Valimsky abroad,Volkhov,Russia,military glory
Memorial Eternal glory to the Fire,Nalchik,Russia,military glory
Memorial Eternal Flame. Monument to fallen countrymen in the Great Patriotic War of 1941-1945.,Nadym,Russia,military glory
"Memorial Warriors of the Civil and the Great Patriotic War, soldiers - internationalists",proletarian,Russia,military glory
Memorial Gorky - Front,Nizhny Novgorod,Russia,military glory
Memorial Gostilitsy,Gostilitsy,Russia,military glory
Memorial Alyosha Monument ( Alyosha),Murmansk,Russia,military glory
Memorial punishing sword,Izhevsk,Russia,military glory
Memorial Mironova gora,new Kalitva,Russia,military glory
Memorial Tomb of the Unknown Soldier in Kohma,Kokhma,Russia,military glory
"Memorial fell in the battles for the Motherland and the victims of fascism, 1941-1945.",Anapa,Russia,military glory
Memorial Crossing,Sheremetevka,Russia,military glory
Memorial Breakthrough,Tatsinskaya,Russia,military glory
Memorial Sambekskie height,Sambek,Russia,military glory
Memorial Glory to Heroes,Tikhvin,Russia,military glory
Memorial of Eternal Glory,Lipetsk,Russia,military glory
Memorial Patriotic War,wasp,Russia,military glory
Memorial Pyryatynsky Division,Abakan,Russia,military glory
Memorial to the victory in the Great Patriotic War,Moscow,Russia,military glory
Memorial of Glory,Neryungri,Russia,military glory
Memorial of Glory,Sagittarius,Russia,military glory
Glory Memorial in the village Chaltyr,Chaltyr,Russia,military glory
Memorial in Red Hills,red Mountain,Russia,military glory
Memorial to soldiers in Palekh,Palekh,Russia,military glory
Memorial to soldiers who fell in the Great Patriotic War of 1941-1945,Makhachkala,Russia,military glory
"Memorial to soldiers, partisans and underground",Dyatkovo,Russia,military glory
Memorial fellow soldiers who died during World War II,Krapivinskii,Russia,military glory
Memorial to soldiers kuzbassovtsev,Kemerovo,Russia,military glory
"Memorial to soldiers-Ryazantsev, who died in local wars",Ryazan,Russia,military glory
Memorial tazovchanam soldiers who died during the Great Patriotic War,Taz,Russia,military glory
Memorial of Military Glory,Pyatigorsk,Russia,military glory
Memorial of Military Glory Marina Grove,Nizhny Novgorod,Russia,military glory
Military Glory Memorial in honor of Montenegrin soldiers who died in the Great Patriotic War,Sayanogorsk,Russia,military glory
Memorial to the heroes of the Great Patriotic War,Omsk,Russia,military glory
Memorial to the Victims of Fascism,Krasnodar,Russia,military glory
Memorial to the victims of fascism in the mine Krasin,mine,Russia,military glory
Memorial to victims of the Nazi occupation of the Crimea of ​​1941-1944. Concentration Red,peaceful,Russia,military glory
Memorial Museum-Reserve Kulikovo Field on the Red Hill,Ivanovka-2,Russia,military glory
Memorial on Bykovsky cemetery,Zhukovsky,Russia,military glory
Memorial on the spot death of Soviet prisoners of war,Smolensk,Russia,military glory
Memorial to the liberators of Pskov,Pskov,Russia,military glory
Memorial,Dolgorukov,Russia,military glory
Memorial Cedar Park,İlinsko-Podomskoe,Russia,military glory
Memorial Grieving Mother,Novozybkov,Russia,military glory
Memorial-alsibovtsev pilots,Zabaykalsk,Russia,military glory
Memorial novokuznechan memory of those killed in hot spots,Novokuznetsk,Russia,military glory
Memorial to the participants in the operation to blow up the Blue Bridge,Vygonichi,Russia,military glory
Victory Memorial Tank T-34 Irkutsk Komsomolets,Irkutsk,Russia,military glory
Memorial to fallen soldiers of the Great Patriotic War,Peşkovo,Russia,military glory
Memorial to those killed workers factory Red Dawn,Rostov-on-Don,Russia,military glory
Memorial workers of the plant Daldizel who died during the Great Patriotic War,Khabarovsk,Russia,military glory
"Memorial workers of the plant. Kirov, who died during the Great Patriotic War",Khabarovsk,Russia,military glory
the memorial,Vladikavkaz,Russia,military glory
"Memorial Tula, who died during the Great Patriotic War of 1941-1945",Mendeleev,Russia,military glory
Memorial-park complex heroes of the First World War,Moscow,Russia,military glory
The memorial The leading edge of the Defense Minor Earth 1943,Novorossiysk,Russia,military glory
"Мемориальный комплекс quot;Астрача, 1941quot;",ASTRACAM,Russia,military glory
Мемориальный комплекс quot;Высота Бессмертияquot;,Belaya Kalitva,Russia,military glory
Мемориальный комплекс quot;Журавлиquot;,Penza,Russia,military glory
Memorial Complex 9 Heroes of the Soviet Union,Geroyskoe,Russia,military glory
The memorial complex Avenue of Military Glory,Astrakhan,Russia,military glory
The memorial complex Avenue of Heroes,Elista,Russia,military glory
The memorial complex Alyosha-Siberian,Novosibirsk,Russia,military glory
The memorial complex Eternal Flame,Yakutsk,Russia,military glory
The memorial complex Eternal Flame,Nizhny Novgorod,Russia,military glory
Memorial Complex City of Military Glory»,Vladivostok,Russia,military glory
The memorial complex Valley of Death,Novorossiysk,Russia,military glory
"The memorial complex For heroism in battle, for the feat in the work of his fellow townspeople grateful",Leninsk-Kuznetsky,Russia,military glory
Memorial Complex Defenders of the sky of the Motherland,Tula,Russia,military glory
The memorial complex The command post of the Central Front,freedom,Russia,military glory
The memorial complex Kumzhenskaya Grove,Rostov-on-Don,Russia,military glory
The memorial complex Kursk,Kursk,Russia,military glory
The memorial complex The sailors who died in peacetime,Murmansk,Russia,viewing platforms
The memorial complex Courage is dedicated to,"Kiselyovsk,",Russia,military glory
The memorial complex fallen warriors,Rostov-on-Don,Russia,military glory
The memorial complex fallen heroes during the Great Patriotic War 1941 - 1945,Semikarakorsk,Russia,military glory
The memorial complex Memory of the Victims of Fascism in Zmievskoy beam,Rostov-on-Don,Russia,military glory
The memorial complex Memory of the fallen in the Great Patriotic War of 1941-1945,Kursk,Russia,military glory
The memorial complex area of ​​the 40th anniversary of the Victory,mine,Russia,military glory
The memorial complex Memory Field,Demidov,Russia,military glory
The memorial complex Soldier Field,hillfort,Russia,architecture
The memorial complex Terbunsky abroad,ponds,Russia,military glory
Memorial complex «Cheryomushki»,Omsk,Russia,military glory
Memorial complex MD Skobeleva,Zaborova,Russia,military glory
"The memorial complex in honor of Hero of the Soviet Union, Marshal of Artillery VI Kazakova",Buturlino,Russia,military glory
The memorial complex in honor of the victory in the Great Patriotic War,Çaadaevka,Russia,military glory
Memorial Complex of Military Glory in Mares mound,Samolva,Russia,military glory
The memorial complex on Park Gorky Square,Kazan,Russia,military glory
The memorial complex dedicated to Tanya Savicheva and children of war,ducks,Russia,military glory
The memorial complex dedicated to the soldiers belovchanam who died during the Great Patriotic War,Beljovo,Russia,military glory
Memorial Ship Krasny Vympel,Vladivostok,Russia,military glory
The Memorial Museum of Battle and Labor Glory Kuznetsk metallurgists in the Great Patriotic War,Novokuznetsk,Russia,galleries
Place the first partisan fight,Prjevalskoe,Russia,military glory
The grave of Gabriel Pavlovich Maslovskoye,ponds,Russia,military glory
Unkown soldiers grave,Petrozavodsk,Russia,military glory
Monument City of Military Glory»,Pskov,Russia,military glory
The monument Mother Russia,Kaliningrad,Russia,military glory
Monument Pantheon of Glory soldiers who fell during the liberation of the village of Crimea,Crimea,Russia,military glory
Monument The T-34 Penza komsomolets ,Penza,Russia,military glory
Monument Teplovsko height,Olhovatka,Russia,military glory
Monument Node Memory,Magadan,Russia,military glory
Monument of military glory,Rossosh,Russia,military glory
monument of Glory,Mezhdurechensk,Russia,military glory
monument of Glory,Labytnangi,Russia,military glory
Monument of Glory pervomaytsam who died in 1941-1945.,Novosibirsk,Russia,military glory
Monument of military and labor glory,Izhevsk,Russia,military glory
The monument of military and labor glory,Penza,Russia,military glory
Monument to the Heroic Defenders of Leningrad,St. Petersburg,Russia,military glory
Monument to the heroes of the 115th Cavalry Division,Nalchik,Russia,military glory
Monument to the heroes of the Volga Flotilla,Nizhny Novgorod,Russia,military glory
Museum Military Hill,Temryuk,Russia,military glory
Museum Victory Memorial,Krasnoyarsk,Russia,military glory
The museum Submarine B-440,Vıtegra,Russia,galleries
Museum of Military Glory 140th Mortar Regiment and the 20th Novograd Volyn infantry brigade,Volgograd,Russia,military glory
Museum of Battle Glory of the 92nd Infantry Brigade separate the Red,Volgograd,Russia,military glory
Museum of military equipment,Vologda,Russia,galleries
Museum of military equipment Arms of Victory,Krasnodar,Russia,military glory
The open air museum of military equipment,Penza,Russia,military glory
The open air museum of military equipment,Kineshma Online booking,Russia,military glory
Museum of Military Glory of the Chuvash Republic. Branch of the National Museum of the Chuvash Republic,Cheboksary,Russia,military glory
Museum of the Civil War,Island Sviyazhsk,Russia,military glory
Museum of the Defense of Tula in the Great Patriotic War of 1941-1945.,Leninist,Russia,galleries
Museum of Memory tagilchan soldiers killed in local wars planet,Nizhny Tagil,Russia,galleries
Museum-diorama The Battle of Kursk. Belgorod direction ,Belgorod,Russia,military glory
Museum of historical and ethnographic complex Sokolovaya Mountain,Saratov,Russia,military glory
The museum complex Manor two generals,Pavlovsk,Russia,military glory
"Nizhny Novgorod city museum of technology and the defense industry, Victory Park",Nizhny Novgorod,Russia,military glory
Obelisk Fighters for Soviet Power,Tuapse,Russia,military glory
obelisk of Glory,Yurievets,Russia,military glory
The obelisk in the village of Bykovo,chicago,Russia,military glory
The obelisk in the village of Sloboda,freedom,Russia,military glory
Obelisk Anzhero-who died in the Great Patriotic War of 1941-1945.,Anzhero-Sudzhensk,Russia,military glory
Obelisk - Heroes of the Soviet Union - navashintsam,navashino,Russia,military glory
The obelisk and eternal flame,Astrakhan,Russia,military glory
"Obelisk civilians, the departure of the Nazis during the occupation of 1942-1943.",Armavir,Russia,military glory
Obelisk of the Civil War,Kemerovo,Russia,military glory
Orlovsky Museum of Military History,Eagle,Russia,galleries
Monument to the Fallen malgobekchanam during the Great Patriotic War,Malgobek,Russia,military glory
Памятник quot;Танк Т-18quot;,Khabarovsk,Russia,military glory
Памятник quot;Танк Т-34quot;,Khabarovsk,Russia,military glory
Monument of the 1st Cavalry Army Tachanka-Rostovite,Rostov-on-Don,Russia,military glory
1200 Monument guards,Kaliningrad,Russia,military glory
Monument 85-millimeter anti-aircraft guns,Tula,Russia,military glory
Monument To soldiers-defenders of Novorossiysk 1942- 1943 yy,Novorossiysk,Russia,military glory
Monument To soldiers-countrymen who gave their lives for the Motherland,Balashikha,Russia,military glory
The monument Children of War,Партизанск,Russia,military glory
Monument The Road of Life,Tuapse,Russia,military glory
Monument The unity of the front and rear,Permian,Russia,military glory
The monument Mothers of War,podporozhye,Russia,military glory
Monument Health care workers who died in the Great Patriotic War of 1941-1945.,Kursk,Russia,military glory
The monument Unknown Sailor,Novorossiysk,Russia,military glory
Monument The Unconquered,Novorossiysk,Russia,military glory
The monument In memory of the forgotten war that changed the course of history,Kaliningrad,Russia,military glory
The monument Partisan Glory,Партизанск,Russia,military glory
Monument The gun ZIS-3,Tula,Russia,military glory
Monument The Cannon,Tikhvin,Russia,military glory
Monument The Cannon,Slavyansk-na-Kubani,Russia,military glory
Monument MiG-21,Tikhvin,Russia,military glory
Monument The plane-attack aircraft IL-2,Novorossiysk,Russia,military glory
Monument Mourning Mother,Kursk,Russia,military glory
Monument Mourning Mother,red,Russia,military glory
The monument Soldier Yamal,purpe,Russia,military glory
The monument Tank,Tikhvin,Russia,military glory
Monument Tankers-heroes of the Battle of Kursk,Kursk,Russia,military glory
Monument torpedo boat,Novorossiysk,Russia,military glory
Monument Black Tulip,Khabarovsk,Russia,military glory
AI monument Pokryshkin,Krasnodar,Russia,military glory
Monument to Alexander Chekalin,Tula,Russia,military glory
Monument Anatoly Bredov,Murmansk,Russia,military glory
"Monument of the Bulgarian patriots, communists",Bryansk,Russia,military glory
"Monument to Soviet Army soldiers and local residents, burned alive in December 1941",Vishny large,Russia,military glory
Monument to the Liberator Soldier,Idrica,Russia,military glory
Monument to the Hero of the Soviet Union N. Ladkinu,Solikamsk,Russia,military glory
Monument to the Hero of the Soviet Union NV Mamonov,Mamonovo,Russia,military glory
Monument to the Heroes of Labor during the Great Patriotic War,Omsk,Russia,military glory
"Monument to the Heroes, Severomorsk, defenders of the Arctic",Severomorsk,Russia,military glory
Monument EM Mammoth,Barnaul,Russia,military glory
Monument Georgy Zhukov,Omsk,Russia,military glory
monument Zagorsky,Vyaznovatovka,Russia,military glory
IL-28 monument,Vologda,Russia,military glory
Monument Issa Pliev,Vladikavkaz,Russia,military glory
Monument KK Rokossovsky,Kursk,Russia,military glory
Karbysheva monument,Omsk,Russia,military glory
Monument Kate Zelenko,Kursk,Russia,military glory
Monument Kronid Korenovu,Партизанск,Russia,military glory
Monument Magomed-Zagid Abdulmanapovu,Kaspiysk,Russia,military glory
Monument Oleg Loskova,Vasilevka,Russia,military glory
Pamyatnik Petru Movie,Hyzel,Russia,military glory
monument Tankers,Lipetsk,Russia,military glory
Monument home front workers,Omsk,Russia,military glory
Monument Ural Volunteer Tank Complex,Permian,Russia,military glory
Monument to Admiral NG Kuznetsov in Arkhangelsk,Arkhangelsk,Russia,military glory
Monument to Admiral NG Kuznetsov Kotlas,Kotlas,Russia,military glory
The monument of military glory Tank T-34,Staraya Russa,Russia,military glory
The monument of military glory at the turn of the defense of the Soviet troops,Voynitsa,Russia,military glory
Monument to soldiers of the 64th Army,Volgograd,Russia,military glory
Monument armored train Kozma Minin,Nizhny Novgorod,Russia,military glory
Monument in honor of the 50th anniversary of the Red Army,Pskov,Russia,military glory
Monument in honor of the soldiers 174-th separate anti-tank artillery battalion named Komsomol Udmurtia,Izhevsk,Russia,military glory
Monument in honor of fellow soldiers who died in World War II,Petrovsk-Zabaykalsky,Russia,military glory
A monument in honor of soldiers-tank T-34 tank Motherland,Saratov,Russia,military glory
Monument military reporters,white Beach,Russia,military glory
Monument military medics,Terbunı,Russia,military glory
Monument Olonets regiments and popular militias Russian army 1698-1920 gg.,Petrozavodsk,Russia,military glory
Monument - countrymen who fell in the Great Patriotic War,Malaya Purga,Russia,military glory
Monument to the soldiers who died during the capture of Kazan,Kazan,Russia,military glory
Monument to the soldiers who died during the Great Patriotic War,Ilyino,Russia,military glory
Monument to the soldiers who died during the Great Patriotic War,Quick Source,Russia,military glory
Monument to the soldiers who died in local wars,Abakan,Russia,military glory
Monument to the soldiers who died of wounds in hospitals of the city of Novosibirsk in WWII,Novosibirsk,Russia,military glory
Monument-motorists,Tula,Russia,military glory
Monument to soldiers-internationalists,Kaliningrad,Russia,military glory
Monument to soldiers-internationalists,Taz,Russia,military glory
Monument-mezhdurechentsam who died in the local soldiers and armed conflict,Mezhdurechensk,Russia,military glory
Monument-metallurgists,Guryevsk,Russia,military glory
Monument-villagers who died during the Great Patriotic War,Sands,Russia,military glory
Monument to soldiers-liberators,Tarko-Sale,Russia,military glory
Monument to soldiers-liberators,Krasnodar,Russia,military glory
The monument of military glory,Abakan,Russia,military glory
Monument to the Liberator Soldier,Hill,Russia,military glory
Monument to the hero of Russia Dmitry A. Razumovsky,Ulyanovsk,Russia,military glory
"Monument to the hero of the Civil War, Sergei Lazo",Vladivostok,Russia,military glory
Monument to the Heroes of the Guards Tank Corps,Tatsinskaya,Russia,military glory
Monument to the heroes of the First World War,Kaliningrad,Russia,military glory
Monument to the heroes of World War I.,Lipetsk,Russia,military glory
Monument to the Heroes Seschinskogo international underground,He remembered,Russia,military glory
Monument to the heroes of the Russian-Japanese War,Vladivostok,Russia,military glory
Monument to the heroes who fell in the battles for the Motherland,Island-Zalit,Russia,military glory
Monument to the Hero of the Soviet Union AV Vorozheikin,Gorodets,Russia,military glory
Monument to the Hero of the Soviet Union Marshal Pavel Rybalko,Rossosh,Russia,military glory
Monument to the children of besieged Leningrad,Omsk,Russia,military glory
A monument to children killed during the Great Patriotic War,Lipetsk,Russia,military glory
Volunteers Monument of Peoples Republic of Tuva,red,Russia,military glory
Monument to victims of Nazi camps,Khabarovsk,Russia,military glory
The monument to the defenders of the Motherland in the Great Patriotic War,Nizhny Novgorod,Russia,military glory
Monument to defenders of Tula,Tula,Russia,military glory
The monument to the defenders and liberators of Gatchina during the Great Patriotic War,Gatchina,Russia,military glory
monument gunners,Tuapse,Russia,military glory
Monument komarichskim underground movement in the square named after Paul Nezymaeva,Komarichi,Russia,military glory
Monument to Komsomol members - defenders of Stalingrad,Volgograd,Russia,military glory
Monument of the legendary divisional gun ZIS-3,Chagoda,Russia,military glory
Monument pilots Birmskoy military aviation school pilots,Chernogorsk,Russia,military glory
"Monument pilots, the Far East, who died in the Great Patriotic War and local military conflicts",Khabarovsk,Russia,military glory
Monument destroyer Kerch,Tuapse,Russia,military glory
Monument to the sailors of the Azov Flotilla - armored boat number 124,Herson,Russia,military glory
Monument to the sailors-amurtsam who died during the Great Patriotic War,Khabarovsk,Russia,military glory
Monument to the sailors-katernikam,Vladivostok,Russia,military glory
Monument on the Tomb of the Unknown Soldier,Moscow,Russia,military glory
The monument at the grave of General Anton Antonovich Skalon,Smolensk,Russia,military glory
The monument at the grave of the underground-ostroverhovtsev,Novorossiysk,Russia,military glory
Monument to the fallen in the Great Patriotic War,Lebedyanki,Russia,military glory
Monument to villagers,Bereznehovatka,Russia,military glory
Monument to villagers,dry Lubna,Russia,military glory
Monument to the Fallen IL-2,mirror,Russia,military glory
Monument to the Fallen in the Great Patriotic War,upper Shkaft,Russia,military glory
Monument to the Fallen for the establishment of the Soviet regime,Anzhero-Sudzhensk,Russia,military glory
A monument to the lost ships,Astrakhan,Russia,military glory
Monument to the Fallen in the Great Patriotic War,Lipetsk,Russia,military glory
Monument to perished employees of the Ministry of Interior,Abakan,Russia,military glory
Monument stowed Ataman of the Don-Yakov Baklanov,Volgodonsk,Russia,military glory
Monument Pskov paratroopers 6th company,black,Russia,military glory
Monument VSW employees who died during the Great Patriotic War,Nizhny Tagil,Russia,military glory
"Monument employees Pulp and Paper Mill, who died during the Great Patriotic War",Solikamsk,Russia,military glory
Monument working with a rifle,Astrakhan,Russia,military glory
Monument Gazdanov seven brothers,Dzuarikau,Russia,military glory
Monument grieving mother,Permian,Russia,military glory
Monument to the soldiers of World War I.,Pskov,Russia,military glory
Monument to the soldiers of World War I.,Pskov,Russia,military glory
Monument to the soldiers mother AA Larionova,Omsk,Russia,military glory
Tula Monument - Heroes of the Soviet Union,Tula,Russia,military glory
Monument Tula - Tula defenders during the Great Patriotic War,Tula,Russia,military glory
Monument Tula - participants of the World War I,Tula,Russia,military glory
Monument to the crew of the mine layer Nikolai Ostrovsky,Tuapse,Russia,military glory
Monument dedicated to the fallen in the Great Patriotic War,Çaadaevka,Russia,military glory
Monument-memorial Black Tulip at the Square of Fame,Khabarovsk,Russia,military glory
Monument rotunda Volgodonsk who died for their country,Volgodonsk,Russia,military glory
The memorial stele Soldiers-liberators of Rostov-on-Don from Nazi invaders,Rostov-on-Don,Russia,military glory
Monuments to heroes of the front and rear,Magadan,Russia,military glory
Commemorative Badge pilots - the first Heroes of the Soviet Union during the Great Patriotic War,Pskov,Russia,military glory
Memorial sign 122mm howitzer,Tula,Russia,military glory
The memorial sign All murdered by the grateful living,Muravlenko,Russia,military glory
The memorial sign Defenders of the Fatherland,Lipetsk,Russia,military glory
"The memorial sign Kursk popular militias, who died during the Great Patriotic War of 1941-9145 years.",Kursk,Russia,military glory
The memorial sign in honor of guerrilla groups MI Badin and N. Lavrentiev,Prjevalskoe,Russia,military glory
The memorial sign in honor of Soviet soldiers participating in the battles Khalkhin Gol Lake Khasan,Volgograd,Russia,military glory
The memorial sign Hungarian prisoners of war,podporozhye,Russia,military glory
The memorial sign at the site feat political instructor Barsukov,Spasskaya Polist,Russia,military glory
The memorial sign on the square tank,Rossosh,Russia,military glory
A memorial complex of the defenders who died in the Great Patriotic War,Noyabrsk,Russia,military glory
A memorial monument to General Margelov,Nizhny Novgorod,Russia,military glory
Memorable Square heroes of the Great Patriotic War,Партизанск,Russia,military glory
Park Victory Garden,Chelyabinsk,Russia,"Gardens, squares, parks"
Park Nyquist,border,Russia,military glory
